 Problem ,Equation,Solution,Class
"प्रभा के पास 164 कालीन थे, उसने 72 कालीन दे दिए। अब उसके पास कितने कालीन बचे?",164 - 72,92,Subtraction
"जयंती के पास 160 कालीन थे, उसने 133 कालीन दे दिए। अब उसके पास कितने कालीन बचे?",160 - 133,27,Subtraction
लक्ष्मी के पास 640 गुड़िया हैं। उसने इन्हें 20 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने गुड़िया मिले?,640 ÷ 20,32,Division
"प्रांजल के पास 184 कॉपी थे, उसने 42 कॉपी दे दिए। अब उसके पास कितने कॉपी बचे?",184 - 42,142,Subtraction
रश्मिता के पास 76 पंखा हैं और प्रभा के पास 151 पंखा हैं। दोनों के पास मिलाकर कितने पंखा हैं?,76 + 151,227,Addition
"संध्या के पास 199 टिफिन थे, उसने 31 टिफिन दे दिए। अब उसके पास कितने टिफिन बचे?",199 - 31,168,Subtraction
मेघा के पास 68 चश्मा हैं। उसने इन्हें 17 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने चश्मा मिले?,68 ÷ 17,4,Division
टंकेश्वर के पास 136 हैंगर हैं और लक्ष्मी के पास 38 हैंगर हैं। दोनों के पास मिलाकर कितने हैंगर हैं?,136 + 38,174,Addition
प्रियंका के पास 53 ट्रे हैं और नमिता के पास 140 ट्रे हैं। दोनों के पास मिलाकर कितने ट्रे हैं?,53 + 140,193,Addition
नीरा के पास 109 टीवी हैं। उसने ऐसे 103 समूह बनाए। कुल टीवी कितने हुए?,109 * 103,11227,Multiplication
विनीता के पास 57 चश्मा हैं और जितेश के पास 155 चश्मा हैं। दोनों के पास मिलाकर कितने चश्मा हैं?,57 + 155,212,Addition
"नीरा के पास 177 गोंद थे, उसने 58 गोंद दे दिए। अब उसके पास कितने गोंद बचे?",177 - 58,119,Subtraction
प्रांजल के पास 34 कंप्यूटर हैं। उसने इन्हें 2 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने कंप्यूटर मिले?,34 ÷ 2,17,Division
जितेश के पास 296 परदा हैं। उसने इन्हें 8 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने परदा मिले?,296 ÷ 8,37,Division
टंकेश्वर के पास 118 छाता हैं और रश्मिता के पास 28 छाता हैं। दोनों के पास मिलाकर कितने छाता हैं?,118 + 28,146,Addition
"चर्मिता के पास 73 बल्ब थे, उसने 31 बल्ब दे दिए। अब उसके पास कितने बल्ब बचे?",73 - 31,42,Subtraction
"हर्षिता के पास 100 ब्लॉक्स थे, उसने 59 ब्लॉक्स दे दिए। अब उसके पास कितने ब्लॉक्स बचे?",100 - 59,41,Subtraction
"अलिशा के पास 128 टीवी थे, उसने 78 टीवी दे दिए। अब उसके पास कितने टीवी बचे?",128 - 78,50,Subtraction
हर्षिता के पास 252 ईयरफोन हैं। उसने इन्हें 12 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने ईयरफोन मिले?,252 ÷ 12,21,Division
"प्रियंका के पास 145 जूते थे, उसने 118 जूते दे दिए। अब उसके पास कितने जूते बचे?",145 - 118,27,Subtraction
नीरा के पास 49 स्पीकर हैं। उसने ऐसे 143 समूह बनाए। कुल स्पीकर कितने हुए?,49 * 143,7007,Multiplication
संध्या के पास 598 फ्रिज हैं। उसने इन्हें 13 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने फ्रिज मिले?,598 ÷ 13,46,Division
"किंजल के पास 122 प्लग थे, उसने 89 प्लग दे दिए। अब उसके पास कितने प्लग बचे?",122 - 89,33,Subtraction
"रश्मिता के पास 196 थाली थे, उसने 145 थाली दे दिए। अब उसके पास कितने थाली बचे?",196 - 145,51,Subtraction
"हर्षिता के पास 136 कॉपी थे, उसने 2 कॉपी दे दिए। अब उसके पास कितने कॉपी बचे?",136 - 2,134,Subtraction
"टंकेश्वर के पास 163 स्पीकर थे, उसने 95 स्पीकर दे दिए। अब उसके पास कितने स्पीकर बचे?",163 - 95,68,Subtraction
"संध्या के पास 193 ओवन थे, उसने 149 ओवन दे दिए। अब उसके पास कितने ओवन बचे?",193 - 149,44,Subtraction
"रश्मिता के पास 127 बल्ब थे, उसने 101 बल्ब दे दिए। अब उसके पास कितने बल्ब बचे?",127 - 101,26,Subtraction
"किंजल के पास 95 दरवाज़ा थे, उसने 29 दरवाज़ा दे दिए। अब उसके पास कितने दरवाज़ा बचे?",95 - 29,66,Subtraction
प्रांजल के पास 570 चश्मा हैं। उसने इन्हें 15 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने चश्मा मिले?,570 ÷ 15,38,Division
प्रांजल के पास 75 बोतल हैं। उसने इन्हें 3 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने बोतल मिले?,75 ÷ 3,25,Division
जितेश के पास 418 चम्मच हैं। उसने इन्हें 19 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने चम्मच मिले?,418 ÷ 19,22,Division
जयंती के पास 76 फ्रिज हैं और नमिता के पास 168 फ्रिज हैं। दोनों के पास मिलाकर कितने फ्रिज हैं?,76 + 168,244,Addition
"प्रांजल के पास 154 टिफिन थे, उसने 47 टिफिन दे दिए। अब उसके पास कितने टिफिन बचे?",154 - 47,107,Subtraction
टंकेश्वर के पास 96 दरवाज़ा हैं। उसने ऐसे 24 समूह बनाए। कुल दरवाज़ा कितने हुए?,96 * 24,2304,Multiplication
"टंकेश्वर के पास 157 मेज़ थे, उसने 110 मेज़ दे दिए। अब उसके पास कितने मेज़ बचे?",157 - 110,47,Subtraction
"किंजल के पास 59 पेन थे, उसने 14 पेन दे दिए। अब उसके पास कितने पेन बचे?",59 - 14,45,Subtraction
हर्षिता के पास 130 हेलमेट हैं। उसने ऐसे 113 समूह बनाए। कुल हेलमेट कितने हुए?,130 * 113,14690,Multiplication
"नमिता के पास 75 तवा थे, उसने 10 तवा दे दिए। अब उसके पास कितने तवा बचे?",75 - 10,65,Subtraction
जयंती के पास 91 माउस हैं। उसने इन्हें 13 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने माउस मिले?,91 ÷ 13,7,Division
नीरा के पास 132 तवा हैं। उसने ऐसे 14 समूह बनाए। कुल तवा कितने हुए?,132 * 14,1848,Multiplication
हर्षिता के पास 2 मापक पट्टी हैं और सयान्ती के पास 32 मापक पट्टी हैं। दोनों के पास मिलाकर कितने मापक पट्टी हैं?,2 + 32,34,Addition
चर्मिता के पास 300 आईना हैं। उसने इन्हें 20 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने आईना मिले?,300 ÷ 20,15,Division
"निम्मी के पास 135 गोंद थे, उसने 101 गोंद दे दिए। अब उसके पास कितने गोंद बचे?",135 - 101,34,Subtraction
जयंती के पास 24 टेप हैं। उसने ऐसे 6 समूह बनाए। कुल टेप कितने हुए?,24 * 6,144,Multiplication
प्रकृति के पास 23 बल्ब हैं। उसने ऐसे 73 समूह बनाए। कुल बल्ब कितने हुए?,23 * 73,1679,Multiplication
नीरा के पास 157 थाली हैं और सयान्ती के पास 193 थाली हैं। दोनों के पास मिलाकर कितने थाली हैं?,157 + 193,350,Addition
प्रकृति के पास 186 मार्कर हैं। उसने ऐसे 5 समूह बनाए। कुल मार्कर कितने हुए?,186 * 5,930,Multiplication
"संध्या के पास 83 स्टेपलर थे, उसने 4 स्टेपलर दे दिए। अब उसके पास कितने स्टेपलर बचे?",83 - 4,79,Subtraction
निम्मी के पास 79 कंप्यूटर हैं। उसने ऐसे 147 समूह बनाए। कुल कंप्यूटर कितने हुए?,79 * 147,11613,Multiplication
"जितेश के पास 126 मोबाइल थे, उसने 105 मोबाइल दे दिए। अब उसके पास कितने मोबाइल बचे?",126 - 105,21,Subtraction
नीरा के पास 183 तवा हैं। उसने ऐसे 152 समूह बनाए। कुल तवा कितने हुए?,183 * 152,27816,Multiplication
"सयान्ती के पास 159 चार्जर थे, उसने 69 चार्जर दे दिए। अब उसके पास कितने चार्जर बचे?",159 - 69,90,Subtraction
"नमिता के पास 181 चप्पल थे, उसने 115 चप्पल दे दिए। अब उसके पास कितने चप्पल बचे?",181 - 115,66,Subtraction
संध्या के पास 200 पहेली हैं। उसने ऐसे 191 समूह बनाए। कुल पहेली कितने हुए?,200 * 191,38200,Multiplication
जितेश के पास 147 कटोरा हैं और लक्ष्मी के पास 142 कटोरा हैं। दोनों के पास मिलाकर कितने कटोरा हैं?,147 + 142,289,Addition
प्रभा के पास 76 बर्तन हैं और हर्षिता के पास 176 बर्तन हैं। दोनों के पास मिलाकर कितने बर्तन हैं?,76 + 176,252,Addition
प्रियंका के पास 116 ब्लॉक्स हैं और रश्मिता के पास 26 ब्लॉक्स हैं। दोनों के पास मिलाकर कितने ब्लॉक्स हैं?,116 + 26,142,Addition
मेघा के पास 43 प्रेशर कुकर हैं और जितेश के पास 3 प्रेशर कुकर हैं। दोनों के पास मिलाकर कितने प्रेशर कुकर हैं?,43 + 3,46,Addition
लक्ष्मी के पास 228 प्लग हैं। उसने इन्हें 12 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने प्लग मिले?,228 ÷ 12,19,Division
"मेघा के पास 184 आईना थे, उसने 67 आईना दे दिए। अब उसके पास कितने आईना बचे?",184 - 67,117,Subtraction
निम्मी के पास 429 कागज़ हैं। उसने इन्हें 13 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने कागज़ मिले?,429 ÷ 13,33,Division
संध्या के पास 18 अलमारी हैं। उसने इन्हें 18 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने अलमारी मिले?,18 ÷ 18,1,Division
संध्या के पास 69 मार्कर हैं और निम्मी के पास 145 मार्कर हैं। दोनों के पास मिलाकर कितने मार्कर हैं?,69 + 145,214,Addition
"प्रांजल के पास 84 कालीन थे, उसने 25 कालीन दे दिए। अब उसके पास कितने कालीन बचे?",84 - 25,59,Subtraction
किंजल के पास 45 ईयरफोन हैं। उसने ऐसे 71 समूह बनाए। कुल ईयरफोन कितने हुए?,45 * 71,3195,Multiplication
"जयंती के पास 140 दरवाज़ा थे, उसने 26 दरवाज़ा दे दिए। अब उसके पास कितने दरवाज़ा बचे?",140 - 26,114,Subtraction
अलिशा के पास 170 ट्रे हैं और जयंती के पास 154 ट्रे हैं। दोनों के पास मिलाकर कितने ट्रे हैं?,170 + 154,324,Addition
"प्रियंका के पास 147 क्रेयॉन थे, उसने 71 क्रेयॉन दे दिए। अब उसके पास कितने क्रेयॉन बचे?",147 - 71,76,Subtraction
"हर्षिता के पास 141 कंप्यूटर थे, उसने 105 कंप्यूटर दे दिए। अब उसके पास कितने कंप्यूटर बचे?",141 - 105,36,Subtraction
"संध्या के पास 104 कंबल थे, उसने 41 कंबल दे दिए। अब उसके पास कितने कंबल बचे?",104 - 41,63,Subtraction
नमिता के पास 14 कॉपी हैं और टंकेश्वर के पास 103 कॉपी हैं। दोनों के पास मिलाकर कितने कॉपी हैं?,14 + 103,117,Addition
किंजल के पास 51 प्लग हैं। उसने ऐसे 154 समूह बनाए। कुल प्लग कितने हुए?,51 * 154,7854,Multiplication
प्रियंका के पास 360 तकिया हैं। उसने इन्हें 9 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने तकिया मिले?,360 ÷ 9,40,Division
लक्ष्मी के पास 150 गिलास हैं और किंजल के पास 23 गिलास हैं। दोनों के पास मिलाकर कितने गिलास हैं?,150 + 23,173,Addition
विनीता के पास 39 अलमारी हैं और मेघा के पास 33 अलमारी हैं। दोनों के पास मिलाकर कितने अलमारी हैं?,39 + 33,72,Addition
अलिशा के पास 178 टिफिन हैं। उसने ऐसे 4 समूह बनाए। कुल टिफिन कितने हुए?,178 * 4,712,Multiplication
जितेश के पास 69 हेलमेट हैं। उसने इन्हें 3 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने हेलमेट मिले?,69 ÷ 3,23,Division
किंजल के पास 164 बाइक हैं और हर्षिता के पास 20 बाइक हैं। दोनों के पास मिलाकर कितने बाइक हैं?,164 + 20,184,Addition
चर्मिता के पास 1 खिड़की हैं और जयंती के पास 128 खिड़की हैं। दोनों के पास मिलाकर कितने खिड़की हैं?,1 + 128,129,Addition
जितेश के पास 370 ओवन हैं। उसने इन्हें 10 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने ओवन मिले?,370 ÷ 10,37,Division
"प्रभा के पास 76 पंखा थे, उसने 13 पंखा दे दिए। अब उसके पास कितने पंखा बचे?",76 - 13,63,Subtraction
प्रभा के पास 126 कीबोर्ड हैं। उसने इन्हें 14 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने कीबोर्ड मिले?,126 ÷ 14,9,Division
सयान्ती के पास 93 गैस चूल्हा हैं और प्रकृति के पास 116 गैस चूल्हा हैं। दोनों के पास मिलाकर कितने गैस चूल्हा हैं?,93 + 116,209,Addition
"टंकेश्वर के पास 176 बाइक थे, उसने 102 बाइक दे दिए। अब उसके पास कितने बाइक बचे?",176 - 102,74,Subtraction
नमिता के पास 172 मापक पट्टी हैं। उसने ऐसे 36 समूह बनाए। कुल मापक पट्टी कितने हुए?,172 * 36,6192,Multiplication
चर्मिता के पास 35 पेन हैं। उसने ऐसे 148 समूह बनाए। कुल पेन कितने हुए?,35 * 148,5180,Multiplication
मेघा के पास 182 ईयरफोन हैं। उसने ऐसे 147 समूह बनाए। कुल ईयरफोन कितने हुए?,182 * 147,26754,Multiplication
"जितेश के पास 128 टेढ़ी थे, उसने 14 टेढ़ी दे दिए। अब उसके पास कितने टेढ़ी बचे?",128 - 14,114,Subtraction
किंजल के पास 13 टेप हैं। उसने ऐसे 59 समूह बनाए। कुल टेप कितने हुए?,13 * 59,767,Multiplication
जयंती के पास 87 ओवन हैं। उसने ऐसे 3 समूह बनाए। कुल ओवन कितने हुए?,87 * 3,261,Multiplication
"लक्ष्मी के पास 154 ताला थे, उसने 64 ताला दे दिए। अब उसके पास कितने ताला बचे?",154 - 64,90,Subtraction
विनीता के पास 920 घड़ी हैं। उसने इन्हें 20 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने घड़ी मिले?,920 ÷ 20,46,Division
प्रकृति के पास 48 किताब हैं। उसने इन्हें 12 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने किताब मिले?,48 ÷ 12,4,Division
"किंजल के पास 189 कटोरा थे, उसने 128 कटोरा दे दिए। अब उसके पास कितने कटोरा बचे?",189 - 128,61,Subtraction
निम्मी के पास 364 कटोरा हैं। उसने इन्हें 13 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने कटोरा मिले?,364 ÷ 13,28,Division
प्रांजल के पास 88 साइकिल हैं। उसने ऐसे 65 समूह बनाए। कुल साइकिल कितने हुए?,88 * 65,5720,Multiplication
चर्मिता के पास 134 टीवी हैं और हर्षिता के पास 191 टीवी हैं। दोनों के पास मिलाकर कितने टीवी हैं?,134 + 191,325,Addition
प्रियंका के पास 177 परदा हैं। उसने ऐसे 121 समूह बनाए। कुल परदा कितने हुए?,177 * 121,21417,Multiplication
प्रांजल के पास 135 मिक्सर हैं और मेघा के पास 103 मिक्सर हैं। दोनों के पास मिलाकर कितने मिक्सर हैं?,135 + 103,238,Addition
अलिशा के पास 159 फोल्डर हैं और मेघा के पास 87 फोल्डर हैं। दोनों के पास मिलाकर कितने फोल्डर हैं?,159 + 87,246,Addition
विनीता के पास 165 कीबोर्ड हैं और लक्ष्मी के पास 20 कीबोर्ड हैं। दोनों के पास मिलाकर कितने कीबोर्ड हैं?,165 + 20,185,Addition
"रश्मिता के पास 87 लैपटॉप थे, उसने 10 लैपटॉप दे दिए। अब उसके पास कितने लैपटॉप बचे?",87 - 10,77,Subtraction
प्रकृति के पास 893 लाइट हैं। उसने इन्हें 19 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने लाइट मिले?,893 ÷ 19,47,Division
"टंकेश्वर के पास 151 पहेली थे, उसने 5 पहेली दे दिए। अब उसके पास कितने पहेली बचे?",151 - 5,146,Subtraction
टंकेश्वर के पास 122 तकिया हैं। उसने ऐसे 173 समूह बनाए। कुल तकिया कितने हुए?,122 * 173,21106,Multiplication
हर्षिता के पास 80 पहेली हैं। उसने इन्हें 16 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने पहेली मिले?,80 ÷ 16,5,Division
सयान्ती के पास 179 कॉपी हैं। उसने ऐसे 122 समूह बनाए। कुल कॉपी कितने हुए?,179 * 122,21838,Multiplication
निम्मी के पास 144 स्पीकर हैं। उसने इन्हें 3 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने स्पीकर मिले?,144 ÷ 3,48,Division
प्रकृति के पास 127 कार हैं। उसने ऐसे 181 समूह बनाए। कुल कार कितने हुए?,127 * 181,22987,Multiplication
जयंती के पास 700 चाकू हैं। उसने इन्हें 14 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने चाकू मिले?,700 ÷ 14,50,Division
विनीता के पास 145 कॉपी हैं और चर्मिता के पास 164 कॉपी हैं। दोनों के पास मिलाकर कितने कॉपी हैं?,145 + 164,309,Addition
"चर्मिता के पास 109 शेल्फ़ थे, उसने 52 शेल्फ़ दे दिए। अब उसके पास कितने शेल्फ़ बचे?",109 - 52,57,Subtraction
प्रभा के पास 64 दरवाज़ा हैं और रश्मिता के पास 45 दरवाज़ा हैं। दोनों के पास मिलाकर कितने दरवाज़ा हैं?,64 + 45,109,Addition
"जयंती के पास 180 किताब थे, उसने 146 किताब दे दिए। अब उसके पास कितने किताब बचे?",180 - 146,34,Subtraction
विनीता के पास 62 हेलमेट हैं और टंकेश्वर के पास 91 हेलमेट हैं। दोनों के पास मिलाकर कितने हेलमेट हैं?,62 + 91,153,Addition
लक्ष्मी के पास 120 अलमारी हैं। उसने ऐसे 17 समूह बनाए। कुल अलमारी कितने हुए?,120 * 17,2040,Multiplication
रश्मिता के पास 155 ब्लॉक्स हैं और चर्मिता के पास 114 ब्लॉक्स हैं। दोनों के पास मिलाकर कितने ब्लॉक्स हैं?,155 + 114,269,Addition
विनीता के पास 155 कांटा हैं। उसने ऐसे 129 समूह बनाए। कुल कांटा कितने हुए?,155 * 129,19995,Multiplication
मेघा के पास 198 घड़ी हैं। उसने ऐसे 59 समूह बनाए। कुल घड़ी कितने हुए?,198 * 59,11682,Multiplication
प्रभा के पास 279 स्पीकर हैं। उसने इन्हें 9 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने स्पीकर मिले?,279 ÷ 9,31,Division
"जयंती के पास 181 प्रेशर कुकर थे, उसने 96 प्रेशर कुकर दे दिए। अब उसके पास कितने प्रेशर कुकर बचे?",181 - 96,85,Subtraction
अलिशा के पास 129 टेडी हैं और जयंती के पास 92 टेडी हैं। दोनों के पास मिलाकर कितने टेडी हैं?,129 + 92,221,Addition
विनीता के पास 432 रबर हैं। उसने इन्हें 9 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने रबर मिले?,432 ÷ 9,48,Division
सयान्ती के पास 157 गिलास हैं। उसने ऐसे 132 समूह बनाए। कुल गिलास कितने हुए?,157 * 132,20724,Multiplication
"किंजल के पास 81 अलमारी थे, उसने 45 अलमारी दे दिए। अब उसके पास कितने अलमारी बचे?",81 - 45,36,Subtraction
टंकेश्वर के पास 29 छाता हैं। उसने ऐसे 31 समूह बनाए। कुल छाता कितने हुए?,29 * 31,899,Multiplication
प्रभा के पास 141 गुब्बारा हैं और नमिता के पास 168 गुब्बारा हैं। दोनों के पास मिलाकर कितने गुब्बारा हैं?,141 + 168,309,Addition
किंजल के पास 97 जार हैं और हर्षिता के पास 53 जार हैं। दोनों के पास मिलाकर कितने जार हैं?,97 + 53,150,Addition
विनीता के पास 72 दरवाज़ा हैं और प्रभा के पास 157 दरवाज़ा हैं। दोनों के पास मिलाकर कितने दरवाज़ा हैं?,72 + 157,229,Addition
संध्या के पास 111 बैग हैं और चर्मिता के पास 123 बैग हैं। दोनों के पास मिलाकर कितने बैग हैं?,111 + 123,234,Addition
चर्मिता के पास 148 मेज़ हैं और जयंती के पास 87 मेज़ हैं। दोनों के पास मिलाकर कितने मेज़ हैं?,148 + 87,235,Addition
प्रभा के पास 39 प्रेशर कुकर हैं। उसने ऐसे 1 समूह बनाए। कुल प्रेशर कुकर कितने हुए?,39 * 1,39,Multiplication
चर्मिता के पास 106 शेल्फ़ हैं और प्रकृति के पास 59 शेल्फ़ हैं। दोनों के पास मिलाकर कितने शेल्फ़ हैं?,106 + 59,165,Addition
प्रांजल के पास 118 स्टेपलर हैं। उसने ऐसे 118 समूह बनाए। कुल स्टेपलर कितने हुए?,118 * 118,13924,Multiplication
रश्मिता के पास 90 गुब्बारा हैं और प्रभा के पास 75 गुब्बारा हैं। दोनों के पास मिलाकर कितने गुब्बारा हैं?,90 + 75,165,Addition
किंजल के पास 200 टेप हैं। उसने इन्हें 4 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने टेप मिले?,200 ÷ 4,50,Division
मेघा के पास 146 स्टेपलर हैं। उसने ऐसे 4 समूह बनाए। कुल स्टेपलर कितने हुए?,146 * 4,584,Multiplication
निम्मी के पास 29 रिमोट हैं और नीरा के पास 97 रिमोट हैं। दोनों के पास मिलाकर कितने रिमोट हैं?,29 + 97,126,Addition
नीरा के पास 60 फिसलपट्टी हैं। उसने इन्हें 6 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने फिसलपट्टी मिले?,60 ÷ 6,10,Division
"जितेश के पास 136 हैंगर थे, उसने 11 हैंगर दे दिए। अब उसके पास कितने हैंगर बचे?",136 - 11,125,Subtraction
लक्ष्मी के पास 135 किताब हैं और नमिता के पास 160 किताब हैं। दोनों के पास मिलाकर कितने किताब हैं?,135 + 160,295,Addition
प्रियंका के पास 186 कालीन हैं। उसने ऐसे 184 समूह बनाए। कुल कालीन कितने हुए?,186 * 184,34224,Multiplication
रश्मिता के पास 132 कागज़ हैं। उसने ऐसे 1 समूह बनाए। कुल कागज़ कितने हुए?,132 * 1,132,Multiplication
प्रांजल के पास 122 तवा हैं। उसने ऐसे 22 समूह बनाए। कुल तवा कितने हुए?,122 * 22,2684,Multiplication
"किंजल के पास 151 मिक्सर थे, उसने 81 मिक्सर दे दिए। अब उसके पास कितने मिक्सर बचे?",151 - 81,70,Subtraction
नमिता के पास 135 चप्पल हैं और जयंती के पास 124 चप्पल हैं। दोनों के पास मिलाकर कितने चप्पल हैं?,135 + 124,259,Addition
नीरा के पास 104 रिमोट हैं और रश्मिता के पास 91 रिमोट हैं। दोनों के पास मिलाकर कितने रिमोट हैं?,104 + 91,195,Addition
प्रांजल के पास 90 टीवी हैं। उसने ऐसे 32 समूह बनाए। कुल टीवी कितने हुए?,90 * 32,2880,Multiplication
"सयान्ती के पास 181 पेन थे, उसने 171 पेन दे दिए। अब उसके पास कितने पेन बचे?",181 - 171,10,Subtraction
प्रियंका के पास 9 स्विच हैं। उसने ऐसे 172 समूह बनाए। कुल स्विच कितने हुए?,9 * 172,1548,Multiplication
चर्मिता के पास 192 गेंद हैं। उसने इन्हें 6 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने गेंद मिले?,192 ÷ 6,32,Division
रश्मिता के पास 23 गैस चूल्हा हैं और नीरा के पास 138 गैस चूल्हा हैं। दोनों के पास मिलाकर कितने गैस चूल्हा हैं?,23 + 138,161,Addition
चर्मिता के पास 146 बैग हैं और संध्या के पास 132 बैग हैं। दोनों के पास मिलाकर कितने बैग हैं?,146 + 132,278,Addition
मेघा के पास 94 प्रेशर कुकर हैं और नमिता के पास 34 प्रेशर कुकर हैं। दोनों के पास मिलाकर कितने प्रेशर कुकर हैं?,94 + 34,128,Addition
हर्षिता के पास 4 प्रेशर कुकर हैं और प्रभा के पास 23 प्रेशर कुकर हैं। दोनों के पास मिलाकर कितने प्रेशर कुकर हैं?,4 + 23,27,Addition
हर्षिता के पास 183 टीवी हैं। उसने ऐसे 158 समूह बनाए। कुल टीवी कितने हुए?,183 * 158,28914,Multiplication
सयान्ती के पास 162 ताला हैं। उसने ऐसे 104 समूह बनाए। कुल ताला कितने हुए?,162 * 104,16848,Multiplication
अलिशा के पास 124 गेंद हैं। उसने ऐसे 158 समूह बनाए। कुल गेंद कितने हुए?,124 * 158,19592,Multiplication
मेघा के पास 576 ट्रे हैं। उसने इन्हें 18 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने ट्रे मिले?,576 ÷ 18,32,Division
संध्या के पास 76 बोतल हैं और मेघा के पास 168 बोतल हैं। दोनों के पास मिलाकर कितने बोतल हैं?,76 + 168,244,Addition
"मेघा के पास 85 चम्मच थे, उसने 35 चम्मच दे दिए। अब उसके पास कितने चम्मच बचे?",85 - 35,50,Subtraction
चर्मिता के पास 147 पेंसिल हैं। उसने इन्हें 7 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने पेंसिल मिले?,147 ÷ 7,21,Division
निम्मी के पास 159 चाकू हैं और हर्षिता के पास 101 चाकू हैं। दोनों के पास मिलाकर कितने चाकू हैं?,159 + 101,260,Addition
